insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
VIRGINIA MEDICARE,6134,6210,1.01,1154115.4,188.15
UNITED HEALTHCARE,3583,3648,1.02,675635.07,188.57
HUMANA,2319,2354,1.02,448970.11,193.61
VIRGINIA BLUE SHIELD,1992,2075,1.04,387315.15,194.44
NORTH CAROLINA MEDICARE,1967,2004,1.02,383465.0,194.95
NORTH CAROLINA MEDICAID,1255,1261,1.0,231280.0,184.29
ANTHEM BLUE CROSS,1155,1168,1.01,218955.08,189.57
UNITED HEALTHCARE COMMUNITY PLAN,907,918,1.01,169265.03,186.62
VIRGINIA MEDICAID,896,906,1.01,165870.05,185.12
AETNA BETTER HEALTH OF VIRGINIA,824,1158,1.41,207025.06,251.24
AARP,823,840,1.02,160170.08,194.62
AETNA - PPO,802,817,1.02,150340.0,187.46
UNITEDHEALTHCARE MEDICARE COMPLETE,560,565,1.01,112350.0,200.63
OPTIMA HEALTH PLANS,558,569,1.02,102705.02,184.06
MUTUAL OF OMAHA,508,518,1.02,97575.05,192.08
NORTH CAROLINA BLUE SHIELD,499,526,1.05,103965.0,208.35
SENTARA HEALTH MANAGEMENT,380,384,1.01,72000.0,189.47
TRICARE FOR LIFE,350,355,1.01,67870.0,193.91
AETNA SSI,306,314,1.03,58895.0,192.47
OPTIMA FAMILY CARE,250,250,1.0,43825.0,175.3
LIFEWORKS ADVANTAGE (ISNP PLAN),193,194,1.01,33155.0,171.79
MOLINA COMPLETE CARE OF VIRGINIA,163,164,1.01,28750.0,176.38
LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,145,148,1.02,27535.03,189.9
MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,115,116,1.01,20955.01,182.22
CHAMPVA - HAC,89,89,1.0,16550.0,185.96
UNITEDHEALTHCARE,78,79,1.01,13960.0,178.97
OPTUMCARE,62,62,1.0,11585.0,186.85
GENERIC PAYER (AUTO-FORWARDED),61,61,1.0,11865.0,194.51
VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,60,60,1.0,12360.0,206.0
MEDICO INSURANCE COMPANY,58,58,1.0,11365.0,195.95
CAREFIRST ADMINISTRATORS / NCAS,54,54,1.0,10065.0,186.39
NF-STATE FARM & PI ONLY,46,47,1.02,9465.01,205.76
UNITED AMERICAN INSURANCE COMPANY,44,44,1.0,8200.0,186.36
MERIDIAN PACE SOLUTIONS,35,35,1.0,6530.0,186.57
CIGNA PPO,30,30,1.0,6115.0,203.83
HEALTHTEAM ADVANTAGE,30,30,1.0,5720.0,190.67
ANTHEM HEALTHKEEPERS PLUS,28,28,1.0,5335.0,190.54
UMR FKA UMR WAUSAU,28,29,1.04,5385.0,192.32
MANHATTANLIFE INSURANCE & ANNUITY COMPANY,25,25,1.0,4390.0,175.6
ILLUMIFIN CORPORATION,23,23,1.0,4625.0,201.09
HORIZON BLUE SHIELD OF NEW JERSEY,23,23,1.0,4150.0,180.43
RETIRED RAILROAD MEDICARE,21,21,1.0,4625.0,220.24
GREAT SOUTHERN LIFE (MEDICARE SUPP),18,18,1.0,3360.0,186.67
WELLCARE HEALTH PLAN,17,17,1.0,3265.0,192.06
TRILLIUM COMMUNITY HEALTH PLAN,17,17,1.0,2960.0,174.12
MICHIGAN BLUE SHIELD,16,16,1.0,2780.0,173.75
NATIONAL ASSOCIATION OF LETTER CARRIERS,16,16,1.0,3275.0,204.69
INDIANA BLUE SHIELD,15,16,1.07,2945.01,196.33
HEALTHY BLUE NORTH CAROLINA,15,15,1.0,2945.0,196.33
ALIGNMENT HEALTH CARE,15,16,1.07,3235.0,215.67
TENNESSEE BLUECARE,13,13,1.0,2540.0,195.38
CLEAR SPRING HEALTH,13,13,1.0,2655.0,204.23
GHI (GROUP HEALTH INC.),13,13,1.0,2390.0,183.85
EVERENCE,12,14,1.17,2570.01,214.17
GLOBE LIFE INSURANCE CO OF NEW YORK,12,13,1.08,2725.0,227.08
UNRECOGNIZED INSURANCE,11,11,1.0,2205.0,200.45
UB-BANKERS LIFE AND CASUALTY,11,11,1.0,2405.0,218.64
AMERICAN REPUBLIC INSURANCE (MAP),11,11,1.0,1700.0,154.55
UMWA HEALTH AND RETIREMENT FUNDS,11,11,1.0,1995.0,181.36
BANKERS LIFE AND CASUALTY,10,10,1.0,2020.0,202.0
VETERANS ADMINISTRATION FEE BASIS PROGRAMS,10,10,1.0,2010.0,201.0
CIGNA HEALTHSPRING,9,9,1.0,1485.0,165.0
OHIO BLUE SHIELD,9,10,1.11,2015.0,223.89
FLORIDA MEDICAID,8,8,1.0,1390.0,173.75
HEALTHKEEPERS INC.,8,8,1.0,1390.0,173.75
"WELLCARE NORTH CAROLINA, INC",8,8,1.0,1650.0,206.25
Loyal Christian Benefit Association,8,8,1.0,1505.0,188.13
TRICARE EAST (DOS 1/1/2025 and after),8,8,1.0,1605.0,200.63
AMERICAN POSTAL WORKERS UNION,8,8,1.0,1650.0,206.25
CAROLINA COMPLETE HEALTH CARE,7,7,1.0,1290.0,184.29
SOUTH CAROLINA BLUE SHIELD,6,6,1.0,980.0,163.33
APPALACHIAN AGENCY FOR SENIOR CITIZENS - PAPER,6,6,1.0,1065.0,177.5
FENYXHEALTH,6,6,1.0,1135.0,189.17
TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,5,5,1.0,1110.0,222.0
SILAC INSURANCE,5,5,1.0,860.0,172.0
INNERMARK TPA,5,5,1.0,875.0,175.0
"CHCS SERVICES, INC.",5,5,1.0,880.0,176.0
BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,5,6,1.2,1175.0,235.0
EAST CAROLINA BEHAVIORAL HEALTH,4,4,1.0,605.0,151.25
ALIGN SENIOR CARE OF VIRGINIA,4,4,1.0,740.0,185.0
WC-CORVEL,4,5,1.25,690.0,172.5
AMERIGROUP/WELLPOINT,4,4,1.0,505.0,126.25
BIND,3,3,1.0,785.0,261.67
BUILDERS MUTUAL WC,3,3,1.0,555.0,185.0
PEKIN INSURANCE,3,3,1.0,510.0,170.0
SEAFARERS & HEALTH BENEFITS PLAN,3,3,1.0,740.0,246.67
UNIFIED LIFE INSURANCE COMPANY,3,3,1.0,555.0,185.0
DEVOTED HEALTH,3,3,1.0,740.0,246.67
AMERIHEALTH CARITAS NORTH CAROLINA,3,3,1.0,510.0,170.0
AMERIGROUP,3,3,1.0,555.0,185.0
AETNA - GOLDEN MEDICARE (MEDICARE ADVANTAGE PLAN),3,3,1.0,595.0,198.33
CAREMORE HEALTH PLAN,3,3,1.0,510.0,170.0
COLONIAL PENN LIFE INSURANCE COMPANY,2,2,1.0,325.0,162.5
CHCS - NORTH AMERICAN INSURANCE CO. OF NEW YORK,2,2,1.0,350.0,175.0
PEAK PACE SOLUTIONS,2,2,1.0,325.0,162.5
DELAWARE FIRST HEALTH,2,2,1.0,325.0,162.5
HEALTHSPRING INC.,2,2,1.0,370.0,185.0
CALIFORNIA BLUE SHIELD,2,2,1.0,515.0,257.5
TRICARE - WEST REGION,2,2,1.0,230.0,115.0
MAGNACARE,2,2,1.0,325.0,162.5
PHYSICIANS MUTUAL INSURANCE COMPANY,1,1,1.0,355.0,355.0
MEDICAL MUTUAL OF OHIO - PROLINK,1,1,1.0,185.0,185.0
TENNCARE SELECT,1,1,1.0,185.0,185.0
MERITAIN HEALTH MINNEAPOLIS,1,1,1.0,355.0,355.0
