code,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,11457,15268,1.33,2824418.38,246.52
99308,4273,5580,1.31,781200.0,182.82
99310,1172,1500,1.28,405000.0,345.56
99306,652,840,1.29,277200.0,425.15
99316,182,243,1.34,51030.0,280.38
99305,150,203,1.35,52780.0,351.87
99497,136,178,1.31,29370.0,215.96
99349,100,158,1.58,40290.0,402.9
99315,84,116,1.38,16820.0,200.24
99350,51,85,1.67,30175.0,591.67
99307,65,72,1.11,6480.0,99.69
99348,43,66,1.53,11220.0,260.93
G8510,23,36,1.57,0.36,0.02
90471,6,11,1.83,385.0,64.17
G8752,4,6,1.5,0.06,0.02
G8754,4,6,1.5,0.06,0.02
99304,3,5,1.67,900.0,300.0
11719,2,3,1.5,90.0,45.0
99358,3,3,1.0,629.04,209.68
G8433,1,2,2.0,0.02,0.02
69209,2,2,1.0,60.0,30.0
G0127,1,2,2.0,100.0,100.0
69930,1,2,2.0,4980.0,4980.0
1034F,1,2,2.0,0.02,0.02
G0317,2,2,1.0,130.0,65.0
11730,1,2,2.0,480.0,480.0
99407,1,1,1.0,60.0,60.0
99406,1,1,1.0,35.0,35.0
99498,1,1,1.0,145.0,145.0
99380,1,1,1.0,250.0,250.0
G0438,1,1,1.0,340.0,340.0
