code,insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,AARP,364,364,1.0,67340.0,185.0
99308,AARP,97,97,1.0,13580.0,140.0
99310,AARP,33,33,1.0,8910.0,270.0
99316,AARP,14,14,1.0,2940.0,210.0
99306,AARP,14,14,1.0,4620.0,330.0
99497,AARP,10,10,1.0,1650.0,165.0
99305,AARP,9,9,1.0,2340.0,260.0
99349,AARP,6,6,1.0,1530.0,255.0
99348,AARP,5,5,1.0,850.0,170.0
99315,AARP,3,3,1.0,435.0,145.0
99350,AARP,3,3,1.0,1065.0,355.0
G8752,AARP,2,2,1.0,0.02,0.01
G8754,AARP,2,2,1.0,0.02,0.01
99406,AARP,1,1,1.0,35.0,35.0
99307,AARP,1,1,1.0,90.0,90.0
G8431,AARP,1,1,1.0,40.0,40.0
G8510,AARP,1,1,1.0,0.01,0.01
20610,AARP,1,1,1.0,135.0,135.0
99309,AETNA BETTER HEALTH OF VIRGINIA,467,636,1.36,117660.0,251.95
99308,AETNA BETTER HEALTH OF VIRGINIA,212,281,1.33,39340.0,185.57
99310,AETNA BETTER HEALTH OF VIRGINIA,29,40,1.38,10800.0,372.41
99306,AETNA BETTER HEALTH OF VIRGINIA,27,36,1.33,11880.0,440.0
99305,AETNA BETTER HEALTH OF VIRGINIA,10,13,1.3,3380.0,338.0
99315,AETNA BETTER HEALTH OF VIRGINIA,6,10,1.67,1450.0,241.67
99316,AETNA BETTER HEALTH OF VIRGINIA,5,6,1.2,1260.0,252.0
99307,AETNA BETTER HEALTH OF VIRGINIA,4,4,1.0,360.0,90.0
99497,AETNA BETTER HEALTH OF VIRGINIA,2,2,1.0,330.0,165.0
3044F,AETNA BETTER HEALTH OF VIRGINIA,1,1,1.0,0.01,0.01
99349,AETNA BETTER HEALTH OF VIRGINIA,1,1,1.0,255.0,255.0
99350,AETNA BETTER HEALTH OF VIRGINIA,1,1,1.0,355.0,355.0
99309,AETNA - PPO,394,397,1.01,73445.0,186.41
99308,AETNA - PPO,156,157,1.01,21980.0,140.9
99310,AETNA - PPO,61,62,1.02,16740.0,274.43
99306,AETNA - PPO,23,23,1.0,7590.0,330.0
99316,AETNA - PPO,12,12,1.0,2520.0,210.0
99315,AETNA - PPO,8,8,1.0,1160.0,145.0
99349,AETNA - PPO,8,8,1.0,2040.0,255.0
