insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
VIRGINIA MEDICARE,5896,5968,1.01,1105605.42,187.52
UNITED HEALTHCARE,3522,3592,1.02,664175.05,188.58
HUMANA,2218,2236,1.01,424010.06,191.17
NORTH CAROLINA MEDICARE,2092,2141,1.02,408265.0,195.16
VIRGINIA BLUE SHIELD,1863,1923,1.03,362460.03,194.56
NORTH CAROLINA MEDICAID,1149,1157,1.01,215330.0,187.41
UNITED HEALTHCARE COMMUNITY PLAN,949,954,1.01,172575.0,181.85
ANTHEM BLUE CROSS,932,942,1.01,178855.06,191.9
AETNA BETTER HEALTH OF VIRGINIA,762,1031,1.35,187070.01,245.5
VIRGINIA MEDICAID,675,677,1.0,124645.02,184.66
AETNA - PPO,671,682,1.02,128305.01,191.21
AARP,550,567,1.03,105560.05,191.93
NORTH CAROLINA BLUE SHIELD,523,533,1.02,104830.0,200.44
UNITEDHEALTHCARE MEDICARE COMPLETE,506,512,1.01,99520.0,196.68
OPTIMA HEALTH PLANS,487,489,1.0,86180.02,176.96
MUTUAL OF OMAHA,422,426,1.01,80515.02,190.79
SENTARA HEALTH MANAGEMENT,362,369,1.02,68725.06,189.85
TRICARE FOR LIFE,306,312,1.02,59780.01,195.36
AETNA SSI,288,296,1.03,55200.05,191.67
LIFEWORKS ADVANTAGE (ISNP PLAN),194,196,1.01,34600.0,178.35
OPTIMA FAMILY CARE,187,188,1.01,32085.0,171.58
MOLINA COMPLETE CARE OF VIRGINIA,130,130,1.0,23270.0,179.0
LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,113,118,1.04,21570.03,190.89
CHAMPVA - HAC,94,94,1.0,17815.0,189.52
MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,89,89,1.0,15960.0,179.33
VETERANS AFFAIRS COMMUNITY CARE NETWORK RGN 1 2 3,81,82,1.01,15580.0,192.35
RETIRED RAILROAD MEDICARE,74,76,1.03,15050.0,203.38
MEDICO INSURANCE COMPANY,69,69,1.0,13145.0,190.51
MERIDIAN PACE SOLUTIONS,53,53,1.0,10035.0,189.34
UNITEDHEALTHCARE,53,53,1.0,10250.0,193.4
CIGNA PPO,46,46,1.0,9340.0,203.04
HEALTHTEAM ADVANTAGE,40,40,1.0,7475.0,186.88
ILLUMIFIN CORPORATION,39,41,1.05,7365.02,188.85
GENERIC PAYER (AUTO-FORWARDED),35,36,1.03,7000.0,200.0
OPTUMCARE,35,35,1.0,6680.0,190.86
CAREFIRST ADMINISTRATORS / NCAS,32,32,1.0,5975.0,186.72
NF-STATE FARM & PI ONLY,31,31,1.0,5845.0,188.55
UNITED AMERICAN INSURANCE COMPANY,28,29,1.04,4985.01,178.04
SILAC INSURANCE,23,23,1.0,4260.0,185.22
HEALTHY BLUE NORTH CAROLINA,23,23,1.0,4295.0,186.74
