code,visit_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,No Visit Type Extracted,11964,16773,1.4,3103005.0,259.36
99308,No Visit Type Extracted,4113,5693,1.38,797020.0,193.78
99310,No Visit Type Extracted,1216,1670,1.37,450900.0,370.81
99306,No Visit Type Extracted,688,928,1.35,306240.0,445.12
99316,No Visit Type Extracted,317,442,1.39,92820.0,292.81
99305,No Visit Type Extracted,196,301,1.54,78260.0,399.29
99349,No Visit Type Extracted,146,210,1.44,53550.0,366.78
99497,No Visit Type Extracted,118,169,1.43,27885.0,236.31
99315,No Visit Type Extracted,116,152,1.31,22040.0,190.0
99348,No Visit Type Extracted,60,91,1.52,15470.0,257.83
99350,No Visit Type Extracted,46,75,1.63,26625.0,578.8
99307,No Visit Type Extracted,44,51,1.16,4590.0,104.32
G8754,No Visit Type Extracted,20,34,1.7,0.34,0.02
G8752,No Visit Type Extracted,20,34,1.7,0.34,0.02
G8510,No Visit Type Extracted,17,25,1.47,0.25,0.01
90471,No Visit Type Extracted,8,13,1.63,455.0,56.88
G0317,No Visit Type Extracted,4,6,1.5,390.0,97.5
69209,No Visit Type Extracted,4,4,1.0,120.0,30.0
99304,No Visit Type Extracted,3,4,1.33,720.0,240.0
G0444,No Visit Type Extracted,3,4,1.33,140.0,46.67
3044F,No Visit Type Extracted,2,3,1.5,0.03,0.02
99406,No Visit Type Extracted,2,3,1.5,105.0,52.5
99498,No Visit Type Extracted,2,2,1.0,290.0,145.0
33993,No Visit Type Extracted,2,3,1.5,945.0,472.5
G8431,No Visit Type Extracted,2,3,1.5,120.0,60.0
20610,No Visit Type Extracted,2,3,1.5,405.0,202.5
15853,No Visit Type Extracted,1,1,1.0,25.0,25.0
69210,No Visit Type Extracted,1,1,1.0,100.0,100.0
1220F,No Visit Type Extracted,1,2,2.0,0.02,0.02
11750,No Visit Type Extracted,1,1,1.0,330.0,330.0
51702,No Visit Type Extracted,1,1,1.0,125.0,125.0
