facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,29225.0,142,149,1.05,205.81
AHOSKIE HEALTH AND REHAB,MEDICAID,8230.0,45,45,1.0,182.89
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,3210.0,16,17,1.06,200.63
AHOSKIE HEALTH AND REHAB,MEDICARE,13440.0,65,70,1.08,206.77
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,81455.0,411,411,1.0,198.19
ALAMANCE HEALTH CARE CENTER,MEDICAID,31375.0,171,171,1.0,183.48
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,6940.0,36,36,1.0,192.78
ALAMANCE HEALTH CARE CENTER,MEDICARE,32580.0,165,165,1.0,197.45
ALAMANCE HEALTH CARE CENTER,WORKERS_COMPENSATION,1155.0,5,5,1.0,231.0
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,15755.0,81,86,1.06,194.51
AMELIA HEALTH AND REHAB,MEDICAID,1240.0,8,9,1.13,155.0
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,7040.0,42,42,1.0,167.62
AMELIA HEALTH AND REHAB,MEDICARE,11445.0,67,68,1.01,170.82
AMELIA HEALTH AND REHAB,WORKERS_COMPENSATION,140.0,1,1,1.0,140.0
Autumn Care of Madison,COMMERCIAL_HMO,15855.04,69,86,1.25,229.78
Autumn Care of Madison,MEDICAID,4820.01,27,28,1.04,178.52
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,7205.0,35,36,1.03,205.86
Autumn Care of Madison,MEDICARE,11805.02,61,63,1.03,193.52
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,10055.0,49,50,1.02,205.2
BEDFORD COUNTY NURSING HOME,MEDICAID,4030.0,20,20,1.0,201.5
BEDFORD COUNTY NURSING HOME,BLUE_CROSS_BLUE_SHIELD,185.0,1,1,1.0,185.0
BEDFORD COUNTY NURSING HOME,MEDICARE,7865.0,38,38,1.0,206.97
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,85610.0,404,475,1.18,211.91
CHASE CITY HEALTH & REHAB CENTER,MEDICAID,2755.0,13,13,1.0,211.92
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,35425.0,178,198,1.11,199.02
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,36245.0,197,203,1.03,183.98
CHASE CITY HEALTH & REHAB CENTER,TRICARE_CHAMPUS,1010.0,5,5,1.0,202.0
CHASE CITY HEALTH & REHAB CENTER,WORKERS_COMPENSATION,690.0,4,5,1.25,172.5
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,50425.0,247,248,1.0,204.15
Clayton Rehab and Healthcare Center,MEDICAID,13635.0,66,66,1.0,206.59
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,6080.0,29,30,1.03,209.66
