code,claim_insurance_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,COMMERCIAL_HMO,7847,8757,1.12,1620045.0,206.45
99308,COMMERCIAL_HMO,2751,3098,1.13,433720.0,157.66
99310,COMMERCIAL_HMO,863,922,1.07,248940.0,288.46
99306,COMMERCIAL_HMO,494,540,1.09,178200.0,360.73
99316,COMMERCIAL_HMO,231,250,1.08,52500.0,227.27
99349,COMMERCIAL_HMO,106,106,1.0,27030.0,255.0
99305,COMMERCIAL_HMO,87,101,1.16,26260.0,301.84
99497,COMMERCIAL_HMO,86,98,1.14,16170.0,188.02
99315,COMMERCIAL_HMO,74,80,1.08,11600.0,156.76
99307,COMMERCIAL_HMO,64,67,1.05,6030.0,94.22
99348,COMMERCIAL_HMO,38,40,1.05,6800.0,178.95
99350,COMMERCIAL_HMO,33,34,1.03,12070.0,365.76
G8510,COMMERCIAL_HMO,16,16,1.0,0.16,0.01
G8752,COMMERCIAL_HMO,10,11,1.1,0.11,0.01
G8754,COMMERCIAL_HMO,10,11,1.1,0.11,0.01
90471,COMMERCIAL_HMO,9,9,1.0,315.0,35.0
G0444,COMMERCIAL_HMO,8,11,1.38,385.0,48.13
G8433,COMMERCIAL_HMO,4,4,1.0,0.04,0.01
69209,COMMERCIAL_HMO,3,3,1.0,90.0,30.0
99406,COMMERCIAL_HMO,3,3,1.0,105.0,35.0
99407,COMMERCIAL_HMO,3,3,1.0,180.0,60.0
G8431,COMMERCIAL_HMO,2,2,1.0,80.0,40.0
G0317,COMMERCIAL_HMO,2,3,1.5,195.0,97.5
3044F,COMMERCIAL_HMO,2,2,1.0,0.02,0.01
3014F,COMMERCIAL_HMO,1,1,1.0,0.01,0.01
G9717,COMMERCIAL_HMO,1,2,2.0,0.02,0.02
99380,COMMERCIAL_HMO,1,1,1.0,250.0,250.0
11730,COMMERCIAL_HMO,1,1,1.0,240.0,240.0
25110,COMMERCIAL_HMO,1,1,1.0,715.0,715.0
99309,MEDICAID,1470,1470,1.0,271950.0,185.0
99308,MEDICAID,464,464,1.0,64960.0,140.0
99310,MEDICAID,141,141,1.0,38070.0,270.0
99306,MEDICAID,47,47,1.0,15510.0,330.0
99316,MEDICAID,23,23,1.0,4830.0,210.0
99307,MEDICAID,14,14,1.0,1260.0,90.0
99497,MEDICAID,10,10,1.0,1650.0,165.0
99305,MEDICAID,8,8,1.0,2080.0,260.0
99315,MEDICAID,5,5,1.0,725.0,145.0
G9717,MEDICAID,1,1,1.0,0.01,0.01
G8752,MEDICAID,1,1,1.0,0.01,0.01
G8510,MEDICAID,1,1,1.0,0.01,0.01
G8754,MEDICAID,1,1,1.0,0.01,0.01
99407,MEDICAID,1,1,1.0,60.0,60.0
3044F,MEDICAID,1,1,1.0,0.01,0.01
99348,MEDICAID,1,1,1.0,170.0,170.0
99309,BLUE_CROSS_BLUE_SHIELD,2269,2316,1.02,428460.0,188.83
