code,insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,AARP,294,294,1.0,54390.0,185.0
99308,AARP,115,115,1.0,16100.0,140.0
99310,AARP,31,31,1.0,8370.0,270.0
99306,AARP,24,24,1.0,7920.0,330.0
99349,AARP,6,6,1.0,1530.0,255.0
99350,AARP,5,5,1.0,1775.0,355.0
99497,AARP,5,5,1.0,825.0,165.0
99316,AARP,4,4,1.0,840.0,210.0
99305,AARP,4,4,1.0,1040.0,260.0
99315,AARP,3,3,1.0,435.0,145.0
99348,AARP,3,3,1.0,510.0,170.0
G8510,AARP,2,2,1.0,0.02,0.01
11730,AARP,1,1,1.0,240.0,240.0
99307,AARP,1,1,1.0,90.0,90.0
99309,AETNA BETTER HEALTH OF KENTUCKY,1,1,1.0,185.0,185.0
99309,AETNA BETTER HEALTH OF VIRGINIA,431,569,1.32,105265.0,244.23
99308,AETNA BETTER HEALTH OF VIRGINIA,220,292,1.33,40880.0,185.82
99310,AETNA BETTER HEALTH OF VIRGINIA,35,43,1.23,11610.0,331.71
99306,AETNA BETTER HEALTH OF VIRGINIA,20,27,1.35,8910.0,445.5
99305,AETNA BETTER HEALTH OF VIRGINIA,12,15,1.25,3900.0,325.0
99307,AETNA BETTER HEALTH OF VIRGINIA,7,8,1.14,720.0,102.86
99497,AETNA BETTER HEALTH OF VIRGINIA,3,4,1.33,660.0,220.0
99316,AETNA BETTER HEALTH OF VIRGINIA,2,2,1.0,420.0,210.0
1034F,AETNA BETTER HEALTH OF VIRGINIA,1,1,1.0,0.01,0.01
99315,AETNA BETTER HEALTH OF VIRGINIA,1,1,1.0,145.0,145.0
99309,AETNA - PPO,303,305,1.01,56425.0,186.22
99308,AETNA - PPO,126,126,1.0,17640.0,140.0
99310,AETNA - PPO,41,41,1.0,11070.0,270.0
99306,AETNA - PPO,23,23,1.0,7590.0,330.0
99497,AETNA - PPO,11,11,1.0,1815.0,165.0
99316,AETNA - PPO,7,7,1.0,1470.0,210.0
99305,AETNA - PPO,4,4,1.0,1040.0,260.0
99349,AETNA - PPO,3,3,1.0,765.0,255.0
99315,AETNA - PPO,3,3,1.0,435.0,145.0
G8510,AETNA - PPO,1,1,1.0,0.01,0.01
11719,AETNA - PPO,1,1,1.0,30.0,30.0
99348,AETNA - PPO,1,1,1.0,170.0,170.0
99307,AETNA - PPO,1,1,1.0,90.0,90.0
99309,AETNA SSI,120,120,1.0,22200.0,185.0
99308,AETNA SSI,32,32,1.0,4480.0,140.0
99310,AETNA SSI,11,11,1.0,2970.0,270.0
99349,AETNA SSI,10,10,1.0,2550.0,255.0
99306,AETNA SSI,5,5,1.0,1650.0,330.0
