facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
AHOSKIE HEALTH AND REHAB,COMMERCIAL_HMO,30875.0,151,161,1.07,204.47
AHOSKIE HEALTH AND REHAB,MEDICAID,16605.0,86,89,1.03,193.08
AHOSKIE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,2340.0,13,13,1.0,180.0
AHOSKIE HEALTH AND REHAB,MEDICARE,19015.0,92,98,1.07,206.68
AHOSKIE HEALTH AND REHAB,TRICARE_CHAMPUS,1295.0,7,7,1.0,185.0
ALAMANCE HEALTH CARE CENTER,COMMERCIAL_HMO,91905.0,483,483,1.0,190.28
ALAMANCE HEALTH CARE CENTER,MEDICAID,46910.0,251,251,1.0,186.89
ALAMANCE HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,7395.0,37,37,1.0,199.86
ALAMANCE HEALTH CARE CENTER,MEDICARE,55515.0,299,299,1.0,185.67
ALAMANCE HEALTH CARE CENTER,WORKERS_COMPENSATION,1295.0,7,7,1.0,185.0
AMELIA HEALTH AND REHAB,COMMERCIAL_HMO,16620.0,85,92,1.08,195.53
AMELIA HEALTH AND REHAB,MEDICAID,835.0,5,5,1.0,167.0
AMELIA HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,4385.0,24,24,1.0,182.71
AMELIA HEALTH AND REHAB,MEDICARE,21220.0,134,134,1.0,158.36
Autumn Care of Madison,COMMERCIAL_HMO,18925.0,98,110,1.12,193.11
Autumn Care of Madison,MEDICAID,3345.0,20,20,1.0,167.25
Autumn Care of Madison,BLUE_CROSS_BLUE_SHIELD,12250.0,68,69,1.01,180.15
Autumn Care of Madison,MEDICARE,19320.0,115,116,1.01,168.0
BEDFORD COUNTY NURSING HOME,COMMERCIAL_HMO,9900.0,52,52,1.0,190.38
BEDFORD COUNTY NURSING HOME,MEDICAID,4285.0,20,20,1.0,214.25
BEDFORD COUNTY NURSING HOME,BLUE_CROSS_BLUE_SHIELD,1515.0,8,8,1.0,189.38
BEDFORD COUNTY NURSING HOME,MEDICARE,10850.0,53,53,1.0,204.72
