code,claim_insurance_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99309,COMMERCIAL_HMO,7186,8055,1.12,1490175.0,207.37
99308,COMMERCIAL_HMO,2571,2936,1.14,411040.0,159.88
99310,COMMERCIAL_HMO,742,797,1.07,215190.0,290.01
99306,COMMERCIAL_HMO,412,443,1.08,146190.0,354.83
99316,COMMERCIAL_HMO,198,210,1.06,44100.0,222.73
99305,COMMERCIAL_HMO,133,156,1.17,40560.0,304.96
99349,COMMERCIAL_HMO,84,87,1.04,22185.0,264.11
99315,COMMERCIAL_HMO,74,81,1.09,11745.0,158.72
99497,COMMERCIAL_HMO,71,75,1.06,12375.0,174.3
99307,COMMERCIAL_HMO,33,34,1.03,3060.0,92.73
99348,COMMERCIAL_HMO,32,32,1.0,5440.0,170.0
99350,COMMERCIAL_HMO,23,23,1.0,8165.0,355.0
G8752,COMMERCIAL_HMO,15,15,1.0,0.15,0.01
G8754,COMMERCIAL_HMO,15,15,1.0,0.15,0.01
G8510,COMMERCIAL_HMO,13,13,1.0,0.13,0.01
90471,COMMERCIAL_HMO,6,6,1.0,210.0,35.0
69209,COMMERCIAL_HMO,2,2,1.0,60.0,30.0
G0317,COMMERCIAL_HMO,2,2,1.0,130.0,65.0
20610,COMMERCIAL_HMO,2,2,1.0,270.0,135.0
99304,COMMERCIAL_HMO,2,2,1.0,360.0,180.0
1220F,COMMERCIAL_HMO,1,1,1.0,0.01,0.01
51702,COMMERCIAL_HMO,1,1,1.0,125.0,125.0
69210,COMMERCIAL_HMO,1,1,1.0,100.0,100.0
99406,COMMERCIAL_HMO,1,1,1.0,35.0,35.0
G0444,COMMERCIAL_HMO,1,2,2.0,70.0,70.0
G8431,COMMERCIAL_HMO,1,1,1.0,40.0,40.0
3044F,COMMERCIAL_HMO,1,1,1.0,0.01,0.01
11750,COMMERCIAL_HMO,1,1,1.0,330.0,330.0
99498,COMMERCIAL_HMO,1,1,1.0,145.0,145.0
99309,MEDICAID,1291,1291,1.0,238835.0,185.0
99308,MEDICAID,342,342,1.0,47880.0,140.0
99310,MEDICAID,126,126,1.0,34020.0,270.0
99306,MEDICAID,41,41,1.0,13530.0,330.0
99316,MEDICAID,9,9,1.0,1890.0,210.0
99315,MEDICAID,9,9,1.0,1305.0,145.0
99305,MEDICAID,8,8,1.0,2080.0,260.0
99497,MEDICAID,7,7,1.0,1155.0,165.0
99307,MEDICAID,4,4,1.0,360.0,90.0
99349,MEDICAID,2,2,1.0,510.0,255.0
99304,MEDICAID,1,1,1.0,180.0,180.0
G8752,MEDICAID,1,1,1.0,0.01,0.01
G8754,MEDICAID,1,1,1.0,0.01,0.01
G0317,MEDICAID,1,1,1.0,65.0,65.0
99309,BLUE_CROSS_BLUE_SHIELD,2143,2187,1.02,404595.0,188.8
99308,BLUE_CROSS_BLUE_SHIELD,668,674,1.01,94360.0,141.26
99310,BLUE_CROSS_BLUE_SHIELD,221,223,1.01,60210.0,272.44
99306,BLUE_CROSS_BLUE_SHIELD,159,161,1.01,53130.0,334.15
99316,BLUE_CROSS_BLUE_SHIELD,70,72,1.03,15120.0,216.0
99305,BLUE_CROSS_BLUE_SHIELD,48,51,1.06,13260.0,276.25
99349,BLUE_CROSS_BLUE_SHIELD,33,33,1.0,8415.0,255.0
99497,BLUE_CROSS_BLUE_SHIELD,18,18,1.0,2970.0,165.0
99350,BLUE_CROSS_BLUE_SHIELD,16,16,1.0,5680.0,355.0
99348,BLUE_CROSS_BLUE_SHIELD,15,15,1.0,2550.0,170.0
99315,BLUE_CROSS_BLUE_SHIELD,15,15,1.0,2175.0,145.0
G8754,BLUE_CROSS_BLUE_SHIELD,3,3,1.0,0.03,0.01
G8752,BLUE_CROSS_BLUE_SHIELD,3,3,1.0,0.03,0.01
99307,BLUE_CROSS_BLUE_SHIELD,3,3,1.0,270.0,90.0
69209,BLUE_CROSS_BLUE_SHIELD,2,2,1.0,60.0,30.0
G8510,BLUE_CROSS_BLUE_SHIELD,2,2,1.0,0.02,0.01
15853,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,25.0,25.0
G0444,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,35.0,35.0
G0317,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,65.0,65.0
G8431,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,40.0,40.0
33993,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,315.0,315.0
3044F,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
99406,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,35.0,35.0
99309,MEDICARE,5131,5132,1.0,949420.0,185.04
99308,MEDICARE,1714,1714,1.0,239960.0,140.0
99310,MEDICARE,516,516,1.0,139320.0,270.0
99306,MEDICARE,278,278,1.0,91740.0,330.0
99316,MEDICARE,145,145,1.0,30450.0,210.0
99305,MEDICARE,85,85,1.0,22100.0,260.0
99349,MEDICARE,85,85,1.0,21675.0,255.0
99497,MEDICARE,69,69,1.0,11385.0,165.0
99315,MEDICARE,47,47,1.0,6815.0,145.0
99348,MEDICARE,44,44,1.0,7480.0,170.0
99350,MEDICARE,36,36,1.0,12780.0,355.0
G8752,MEDICARE,15,15,1.0,0.15,0.01
G8754,MEDICARE,15,15,1.0,0.15,0.01
G8510,MEDICARE,10,10,1.0,0.1,0.01
99307,MEDICARE,10,10,1.0,900.0,90.0
90471,MEDICARE,7,7,1.0,245.0,35.0
G0317,MEDICARE,2,2,1.0,130.0,65.0
33993,MEDICARE,2,2,1.0,630.0,315.0
99304,MEDICARE,1,1,1.0,180.0,180.0
99406,MEDICARE,1,1,1.0,35.0,35.0
99498,MEDICARE,1,1,1.0,145.0,145.0
3044F,MEDICARE,1,1,1.0,0.01,0.01
G0444,MEDICARE,1,1,1.0,35.0,35.0
G8431,MEDICARE,1,1,1.0,40.0,40.0
20610,MEDICARE,1,1,1.0,135.0,135.0
1220F,MEDICARE,1,1,1.0,0.01,0.01
99309,TRICARE_CHAMPUS,81,81,1.0,14985.0,185.0
99308,TRICARE_CHAMPUS,19,19,1.0,2660.0,140.0
99310,TRICARE_CHAMPUS,7,7,1.0,1890.0,270.0
99316,TRICARE_CHAMPUS,4,4,1.0,840.0,210.0
99306,TRICARE_CHAMPUS,3,3,1.0,990.0,330.0
99349,TRICARE_CHAMPUS,2,2,1.0,510.0,255.0
99305,TRICARE_CHAMPUS,1,1,1.0,260.0,260.0
99309,WORKERS_COMPENSATION,18,18,1.0,3330.0,185.0
99308,WORKERS_COMPENSATION,8,8,1.0,1120.0,140.0
99306,WORKERS_COMPENSATION,2,2,1.0,660.0,330.0
99316,WORKERS_COMPENSATION,1,1,1.0,210.0,210.0
99349,WORKERS_COMPENSATION,1,1,1.0,255.0,255.0
99310,WORKERS_COMPENSATION,1,1,1.0,270.0,270.0
99309,SELF_PAY,9,9,1.0,1665.0,185.0
99316,SELF_PAY,1,1,1.0,210.0,210.0
